tariff_plan_code_from,tariff_plan_code_to,arpu_segment,sample_size,raw_mean_lift,raw_std_lift,median_lift,downsell_rate,flat_rate,upsell_rate,origin_segment_changes,destination_share_among_changers,segment_prior_mean,between_group_variance,posterior_mean_lift,posterior_std_lift,posterior_lower_95,posterior_upper_95,data_weight
tariff_1,tariff_10,HIGH,9,0.17665679,0.55163079,0.08082268,0.33333333,0.33333333,0.33333333,71,0.12676056,-0.12852526,0.0321792,0.02029313,0.12840326,-0.23137726,0.27196352,0.48763808
tariff_1,tariff_10,LOW,14,2.04463673,1.55557601,3.0,0.14285714,0.07142857,0.78571429,235,0.05957447,1.02082216,0.35500524,1.70938903,0.34094916,1.04112867,2.37764939,0.67255038
tariff_1,tariff_10,MID,26,0.88447522,1.22009447,0.83705204,0.23076923,0.07692308,0.69230769,314,0.08280255,0.25725709,0.1628803,0.72134199,0.20582409,0.31792678,1.1247572,0.73990989
tariff_1,tariff_11,HIGH,4,0.02399635,0.35177021,0.18558782,0.25,0.0,0.75,71,0.05633803,-0.12852526,0.0321792,-0.05076179,0.12558888,-0.29691599,0.19539241,0.50985213
tariff_1,tariff_11,LOW,2,1.26619702,2.45196769,1.26619702,0.5,0.0,0.5,235,0.00851064,1.02082216,0.35500524,1.04673925,0.56347912,-0.05767983,2.15115833,0.10562243
tariff_1,tariff_11,MID,12,1.19337111,1.52568336,0.90928557,0.16666667,0.0,0.83333333,314,0.03821656,0.25725709,0.1628803,0.68452884,0.29755106,0.10132877,1.26772892,0.45643131
tariff_1,tariff_12,HIGH,2,0.40998918,0.08477432,0.40998918,0.0,0.0,1.0,71,0.02816901,-0.12852526,0.0321792,0.35589554,0.05685413,0.24446144,0.46732964,0.89955026
tariff_1,tariff_12,MID,2,1.81472116,1.67623741,1.81472116,0.0,0.0,1.0,314,0.00636943,0.25725709,0.1628803,0.41906707,0.38204469,-0.32974051,1.16787466,0.10389323
tariff_1,tariff_13,HIGH,14,-0.35473092,0.29510586,-0.37891216,0.78571429,0.14285714,0.07142857,71,0.1971831,-0.12852526,0.0321792,-0.31808692,0.07220002,-0.45959896,-0.17657487,0.83800582
tariff_1,tariff_13,LOW,22,2.12133522,1.03002588,2.37711588,0.04545455,0.0,0.95454545,235,0.09361702,1.02082216,0.35500524,1.98971715,0.20605234,1.58585456,2.39357973,0.88040299
tariff_1,tariff_13,MID,66,0.33500871,0.7662436,0.12945083,0.3030303,0.18181818,0.51515152,314,0.21019108,0.25725709,0.1628803,0.33098213,0.09184334,0.15096918,0.51099509,0.94821228
tariff_1,tariff_21,LOW,10,0.41937705,1.6558283,-0.21966815,0.6,0.0,0.4,235,0.04255319,1.02082216,0.35500524,0.68146697,0.39331866,-0.08943759,1.45237154,0.56423301
tariff_1,tariff_21,MID,5,0.88187128,1.88246598,0.71511054,0.4,0.0,0.6,314,0.01592357,0.25725709,0.1628803,0.37397978,0.36392663,-0.33931642,1.08727597,0.18687165
tariff_1,tariff_4,HIGH,10,-0.03174407,0.64227099,-0.07972701,0.5,0.1,0.4,71,0.14084507,-0.12852526,0.0321792,-0.08611311,0.13445222,-0.34963946,0.17741324,0.43822721
tariff_1,tariff_4,LOW,35,1.98428973,1.5800005,3.0,0.2,0.0,0.8,235,0.14893617,1.02082216,0.35500524,1.82310029,0.24370651,1.34543553,2.30076504,0.83269863
tariff_1,tariff_4,MID,51,0.99703111,1.19604507,0.66577042,0.15686275,0.09803922,0.74509804,314,0.16242038,0.25725709,0.1628803,0.88835095,0.15468916,0.58516019,1.19154171,0.85309005
tariff_1,tariff_8,HIGH,32,-0.23717833,0.4637976,-0.18630056,0.59375,0.21875,0.1875,71,0.45070423,-0.12852526,0.0321792,-0.21840313,0.0745691,-0.36455856,-0.07224769,0.82720047
tariff_1,tariff_8,LOW,71,1.54877684,1.69350272,3.0,0.26760563,0.02816901,0.70422535,235,0.30212766,1.02082216,0.35500524,1.49484136,0.19043921,1.12158051,1.8681022,0.89784069
tariff_1,tariff_8,MID,125,0.78512745,1.26778717,0.51752584,0.288,0.048,0.664,314,0.39808917,0.25725709,0.1628803,0.74650473,0.10916718,0.53253707,0.9604724,0.92683294
tariff_1,tariff_9,LOW,81,1.99824466,1.47687938,3.0,0.16049383,0.0,0.83950617,235,0.34468085,1.02082216,0.35500524,1.92933186,0.15820716,1.61924583,2.2394179,0.92949539
tariff_1,tariff_9,MID,27,1.32936183,1.17703122,1.49870826,0.14814815,0.0,0.85185185,314,0.08598726,0.25725709,0.1628803,1.07253099,0.19753282,0.68536667,1.45969532,0.7604424
tariff_10,tariff_1,HIGH,17,-0.57601493,0.4221327,-0.52882502,0.88235294,0.05882353,0.05882353,676,0.02514793,-0.12852526,0.0321792,-0.46606428,0.08891909,-0.6403457,-0.29178286,0.75429455
tariff_10,tariff_1,LOW,1,-0.86353791,,-0.86353791,1.0,0.0,0.0,60,0.01666667,1.02082216,0.35500524,0.82258101,0.5636111,-0.28209674,1.92725877,0.10520343
tariff_10,tariff_1,MID,12,-0.74166332,0.26414102,-0.8210593,1.0,0.0,0.0,361,0.033241,0.25725709,0.1628803,-0.70723464,0.07492539,-0.85408841,-0.56038086,0.96553411
tariff_10,tariff_11,HIGH,134,-0.0578011,0.46274159,-0.03940498,0.42537313,0.25373134,0.32089552,676,0.19822485,-0.12852526,0.0321792,-0.06114703,0.03901773,-0.13762179,0.01532773,0.95269045
tariff_10,tariff_11,LOW,11,-0.01205812,1.56641254,-0.94343719,0.63636364,0.09090909,0.27272727,60,0.18333333,1.02082216,0.35500524,0.38650173,0.37011711,-0.33892781,1.11193127,0.61412773
tariff_10,tariff_11,MID,86,0.41415619,0.98234726,0.45393116,0.26744186,0.05813953,0.6744186,361,0.23822715,0.25725709,0.1628803,0.40404388,0.10245876,0.20322472,0.60486305,0.93554901
tariff_10,tariff_12,HIGH,91,-0.06670829,0.4550186,-0.02266246,0.41758242,0.23076923,0.35164835,676,0.13461538,-0.12852526,0.0321792,-0.07079035,0.04609712,-0.16114071,0.01956001,0.93396527
tariff_10,tariff_12,LOW,4,-0.60679434,0.78641132,-1.0,0.75,0.0,0.25,60,0.06666667,1.02082216,0.35500524,-0.11299715,0.32818267,-0.75623519,0.53024088,0.69661331
tariff_10,tariff_12,MID,30,0.30191127,0.89288574,0.31122585,0.33333333,0.0,0.66666667,361,0.08310249,0.25725709,0.1628803,0.29564764,0.15115285,-0.00061195,0.59190724,0.85973021
tariff_10,tariff_13,HIGH,33,-0.34880363,0.35475185,-0.39892606,0.81818182,0.09090909,0.09090909,676,0.04881657,-0.12852526,0.0321792,-0.32546413,0.05839121,-0.4399109,-0.21101735,0.89404542
tariff_10,tariff_13,LOW,2,1.99044728,1.42772314,1.99044728,0.0,0.0,1.0,60,0.03333333,1.02082216,0.35500524,1.27131082,0.51312256,0.26559061,2.27703103,0.25833557
tariff_10,tariff_13,MID,31,-0.17791055,0.70098096,-0.29741265,0.67741935,0.16129032,0.16129032,361,0.08587258,0.25725709,0.1628803,-0.13931767,0.12018759,-0.37488533,0.09625,0.9113149
tariff_10,tariff_21,LOW,2,1.0,2.82842712,1.0,0.5,0.0,0.5,60,0.03333333,1.02082216,0.35500524,1.01912481,0.57102226,-0.10007882,2.13832843,0.0815166
tariff_10,tariff_21,MID,1,-0.21767599,,-0.21767599,1.0,0.0,0.0,361,0.00277008,0.25725709,0.1628803,0.18747582,0.372758,-0.54312985,0.9180815,0.14692864
tariff_10,tariff_4,HIGH,77,-0.34520354,0.40786092,-0.29643515,0.7012987,0.22077922,0.07792208,676,0.11390533,-0.12852526,0.0321792,-0.33157173,0.04499422,-0.41976041,-0.24338305,0.93708731
tariff_10,tariff_4,LOW,13,0.42446611,1.38939475,0.28177601,0.46153846,0.0,0.53846154,60,0.21666667,1.02082216,0.35500524,0.60034554,0.32357286,-0.03385727,1.23454834,0.70507648
tariff_10,tariff_4,MID,60,0.00643113,0.84144681,0.03122583,0.45,0.1,0.45,361,0.16620499,0.25725709,0.1628803,0.02337565,0.10489691,-0.18222229,0.22897358,0.93244511
tariff_10,tariff_8,HIGH,324,-0.13365222,0.38118265,-0.12702692,0.52469136,0.24382716,0.23148148,676,0.47928994,-0.12852526,0.0321792,-0.13358175,0.02103078,-0.17480207,-0.09236143,0.9862553
tariff_10,tariff_8,LOW,19,0.1790835,1.71819423,-0.98212176,0.68421053,0.0,0.31578947,60,0.31666667,1.02082216,0.35500524,0.43533791,0.32874899,-0.2090101,1.07968593,0.69556535
